,name,time_elapsed,best_score,test_score
0,kr-vs-kp,0.8401038646697998,0.9870879708904109,0.9953125
1,letter,1.2370946407318115,0.9591875,0.966
2,balance-scale,0.5747601985931396,0.8400000000000001,0.904
3,mfeat-factors,0.7513840198516846,0.9637500000000001,0.96
4,mfeat-fourier,0.43692946434020996,0.8231250000000001,0.8425
5,breast-w,0.26292943954467773,0.9624517374517374,0.9714285714285714
6,mfeat-karhunen,0.41490745544433594,0.9581250000000001,0.955
7,mfeat-morphological,0.30524778366088867,0.7118749999999999,0.6925
8,mfeat-zernike,0.3870432376861572,0.780625,0.7625
9,cmc,0.3035764694213867,0.5246051208077894,0.45084745762711864
10,optdigits,0.523817777633667,0.9830957854406132,0.9848754448398577
11,credit-approval,0.28246021270751953,0.8603112203112204,0.8695652173913043
12,credit-g,0.29588890075683594,0.76375,0.76
13,pendigits,0.6604669094085693,0.9912428265879167,0.9895407003183265
14,diabetes,0.27528810501098633,0.7833399973343996,0.7012987012987013
15,spambase,0.46024084091186523,0.95,0.9554831704668838
16,splice,0.549452543258667,0.9655132189862247,0.9482758620689655
17,tic-tac-toe,0.2997164726257324,0.9778287072404719,1.0
18,vehicle,0.2915780544281006,0.7529302832244008,0.7411764705882353
19,electricity,1.707709550857544,0.9019834935615376,0.9072051197175328
20,satimage,0.5940876007080078,0.9121286202085059,0.9152410575427683
21,eucalyptus,0.31339502334594727,0.6548312327973346,0.5945945945945946
22,sick,0.34296441078186035,0.9847522871294739,0.9801324503311258
23,vowel,0.301788330078125,0.9583472653451158,0.9646464646464646
24,isolet,3.755153179168701,0.9401953149096294,0.9467948717948718
25,analcatdata_authorship,0.29538702964782715,0.9895964621337756,1.0
26,analcatdata_dmft,0.31040191650390625,0.20091043307086612,0.15
27,mnist_784,19.19514298439026,0.9665535714285716,0.9712142857142857
28,pc4,0.2898592948913574,0.8996515168188989,0.9212328767123288
29,pc3,0.3109316825866699,0.8952,0.9105431309904153
30,jm1,0.7528562545776367,0.8144225411184698,0.823610473128158
31,kc2,0.2773118019104004,0.8465002868617326,0.8571428571428571
32,kc1,0.3023552894592285,0.8494425227819431,0.8696682464454977
33,pc1,0.27584075927734375,0.9413825937916588,0.9369369369369369
34,adult,8.99316692352295,0.8524301952579167,0.8549493295117208
35,Bioresponse,1.4891562461853027,0.7973333333333332,0.7643142476697736
36,wdbc,0.26034092903137207,0.956043956043956,0.9649122807017544
37,phoneme,0.38554811477661133,0.8979843716548919,0.9093432007400555
38,qsar-biodeg,0.2824065685272217,0.8696463792617639,0.8341232227488151
39,wall-robot-navigation,0.4434804916381836,0.9931258341477769,0.9926739926739927
40,semeion,0.3358321189880371,0.9270032422417784,0.9561128526645768
41,ilpd,0.2824399471282959,0.6953328757721344,0.7350427350427351
42,madelon,1.007875919342041,0.6860576923076923,0.7115384615384616
43,nomao,2.2318410873413086,0.9664878422056639,0.9686638618888728
44,ozone-level-8hr,0.45666956901550293,0.9432633947576476,0.9447731755424064
45,cnae-9,0.3809349536895752,0.9224492539319801,0.9120370370370371
46,first-order-theorem-proving,0.779883861541748,0.6191268165211778,0.6315359477124183
47,banknote-authentication,0.28492093086242676,0.9918057285180574,1.0
48,blood-transfusion-service-center,0.25690722465515137,0.7542156862745097,0.7666666666666667
49,PhishingWebsites,0.4711477756500244,0.9691313956551877,0.9701492537313433
50,cylinder-bands,0.309739351272583,0.7917401764234162,0.8425925925925926
51,bank-marketing,1.661813735961914,0.9047223770601681,0.905783478933982
52,GesturePhaseSegmentationProcessed,1.254077672958374,0.6549755092551767,0.6688607594936709
53,har,4.482943296432495,0.9740255156477502,0.9776699029126213
54,dresses-sales,0.28548336029052734,0.5924999999999999,0.61
55,texture,0.7278289794921875,0.9752272727272727,0.9790909090909091
56,connect-4,3.5978176593780518,0.8237579794615598,0.8269686204854944
57,MiceProtein,0.3156125545501709,0.975695658018551,0.9953703703703703
58,steel-plates-fault,0.3209376335144043,0.7699636967119594,0.7840616966580977
59,climate-model-simulation-crashes,0.26619768142700195,0.9143811815022721,0.9259259259259259
60,wilt,0.3272252082824707,0.9816577477702759,0.9834710743801653
61,car,0.2948617935180664,0.9479097996128291,0.9450867052023122
62,segment,0.30625081062316895,0.9301970262945872,0.9372294372294372
63,mfeat-pixel,0.3498673439025879,0.97,0.975
64,Fashion-MNIST,29.575489282608032,0.879357142857143,0.8837857142857143
65,jungle_chess_2pcs_raw_endgame_complete,0.9410576820373535,0.7941151861665039,0.7897144132083891
66,numerai28.6,10.699053049087524,0.5124194922266839,0.5034260797342193
67,Devnagari-Script,45.75250816345215,0.8980298913043478,0.9107065217391305
68,CIFAR_10,94.9013934135437,0.45681249999999995,0.46458333333333335
69,Internet-Advertisements,3.2835466861724854,0.9763685932388222,0.9832317073170732
70,dna,0.5976338386535645,0.9489810855579952,0.9482758620689655
71,churn,0.41966891288757324,0.946,0.949
