,name,time_elapsed,best_score,test_score
0,kr-vs-kp,0.565293550491333,0.9898276969178083,0.996875
1,letter,19.1370747089386,0.9577500000000001,0.9635
2,balance-scale,0.22805094718933105,0.8619999999999999,0.872
3,mfeat-factors,4.5443010330200195,0.9581250000000001,0.965
4,mfeat-fourier,3.813016176223755,0.8237500000000001,0.8475
5,breast-w,0.1009213924407959,0.9588803088803088,0.95
6,mfeat-karhunen,2.5200717449188232,0.9450000000000001,0.9475
7,mfeat-morphological,0.782346248626709,0.700625,0.665
8,mfeat-zernike,2.879180431365967,0.77625,0.8025
9,cmc,0.3691842555999756,0.5330760908763073,0.511864406779661
10,optdigits,3.918616533279419,0.9766439253491533,0.9813167259786477
11,credit-approval,0.1354513168334961,0.8748894348894348,0.8695652173913043
12,credit-g,0.22077703475952148,0.7325000000000002,0.75
13,pendigits,3.028615951538086,0.9896506896759135,0.9909049567985448
14,diabetes,0.13399958610534668,0.7605357856857257,0.6753246753246753
15,spambase,0.8413946628570557,0.9508152173913043,0.9500542888165038
16,splice,1.061110258102417,0.9655208932888224,0.9561128526645768
17,tic-tac-toe,0.1410372257232666,0.9778287072404719,0.9895833333333334
18,vehicle,0.30621981620788574,0.7737363834422657,0.7352941176470589
19,electricity,2.3309409618377686,0.9102870940581578,0.9197837360697341
20,satimage,2.918898582458496,0.9125162127107653,0.9090202177293935
21,eucalyptus,0.361255407333374,0.668462987107055,0.6283783783783784
22,sick,0.3873879909515381,0.9890618650675981,0.9894039735099338
23,vowel,0.6633105278015137,0.8825810046970783,0.9292929292929293
24,isolet,186.19564628601074,0.9413186519441531,0.9435897435897436
25,analcatdata_authorship,0.2653820514678955,0.980685461580984,0.9822485207100592
26,analcatdata_dmft,0.3007357120513916,0.19151082677165354,0.14375
27,mnist_784,827.3756597042084,0.975,0.9795714285714285
28,pc4,0.3673093318939209,0.898796815964198,0.9075342465753424
29,pc3,0.6311929225921631,0.8960000000000001,0.9105431309904153
30,jm1,1.4637982845306396,0.8101738908514907,0.8121267799724391
31,kc2,0.4459497928619385,0.8249569707401033,0.8380952380952381
32,kc1,0.23758435249328613,0.8470668797078293,0.8672985781990521
33,pc1,0.18131327629089355,0.9346283247635372,0.9279279279279279
34,adult,2.438416004180908,0.87198326870697,0.8764459002968574
35,Bioresponse,12.047620296478271,0.8006666666666666,0.7762982689747004
36,wdbc,0.11109209060668945,0.9648351648351647,0.9736842105263158
37,phoneme,0.3950626850128174,0.8917405266538214,0.9093432007400555
38,qsar-biodeg,0.22411656379699707,0.8708509439278671,0.8341232227488151
39,wall-robot-navigation,1.2310655117034912,0.9965625229883246,0.9945054945054945
40,semeion,3.9086687564849854,0.9128701559363902,0.9435736677115988
41,ilpd,0.11939883232116699,0.6716083276138183,0.7008547008547008
42,madelon,4.328810691833496,0.79375,0.8057692307692308
43,nomao,10.886910676956177,0.9707312499856131,0.9725808791527637
44,ozone-level-8hr,0.6494336128234863,0.9442461837864137,0.9487179487179487
45,cnae-9,9.581107378005981,0.917851861809383,0.9027777777777778
46,first-order-theorem-proving,7.804903268814087,0.609729054521224,0.6053921568627451
47,banknote-authentication,0.09245777130126953,0.9945288501452886,1.0
48,blood-transfusion-service-center,0.10748457908630371,0.754187675070028,0.7666666666666667
49,PhishingWebsites,1.4471464157104492,0.9673225280023736,0.9687924016282226
50,cylinder-bands,0.15416669845581055,0.7847634322373697,0.8518518518518519
51,bank-marketing,4.63889217376709,0.904998910432673,0.9069998894172288
52,GesturePhaseSegmentationProcessed,12.125772714614868,0.6567496653065151,0.6764556962025317
53,har,80.60124063491821,0.9891971133157668,0.9902912621359223
54,dresses-sales,0.11996150016784668,0.5850000000000001,0.57
55,texture,4.3747944831848145,0.9804545454545455,0.9772727272727273
56,connect-4,40.45694637298584,0.8405217873993894,0.8391799881586738
57,MiceProtein,1.2182412147521973,0.9583411748890981,0.9768518518518519
58,steel-plates-fault,1.2972915172576904,0.7912374235037859,0.8174807197943444
59,climate-model-simulation-crashes,0.10588383674621582,0.949024325046779,0.9444444444444444
60,wilt,0.23726868629455566,0.9837235975660583,0.984504132231405
61,car,0.23146986961364746,0.9840841312195888,0.9826589595375722
62,segment,0.791693925857544,0.9296594155130741,0.9329004329004329
63,mfeat-pixel,3.594259023666382,0.9581250000000001,0.9725
64,Fashion-MNIST,929.1599986553192,0.8993035714285714,0.9051428571428571
65,jungle_chess_2pcs_raw_endgame_complete,3.7355425357818604,0.8672151722214474,0.8707050423917894
66,numerai28.6,7.442263603210449,0.5087858159228893,0.5067483388704319
67,Devnagari-Script,6696.583611011505,0.9020516304347825,0.9155434782608696
68,CIFAR_10,3762.676317691803,0.5351041666666666,0.5415833333333333
69,Internet-Advertisements,19.011897325515747,0.9721715739731007,0.9832317073170732
70,dna,6.019567489624023,0.9623244346854655,0.9670846394984326
71,churn,1.1423966884613037,0.94575,0.956
