,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,name
0,0.1427926540374756,0.0037437612543078777,0.02568063735961914,0.0018235284858896003,0.990234375,0.9882583170254403,0.9765166340508806,0.9902152641878669,0.9902152641878669,0.9870879708904109,0.005340087231648065,1,kr-vs-kp
0,0.5201635360717773,0.03553343035687526,0.03945627212524414,0.012585266010638651,0.9575,0.96,0.9575,0.9575,0.9634375,0.9591875,0.002335192711533646,1,letter
0,0.10754094123840333,0.001392725158058916,0.015038871765136718,0.0005703024162261815,0.84,0.82,0.88,0.85,0.81,0.8400000000000001,0.024494897427831775,1,balance-scale
0,0.22548913955688477,0.04430611043453841,0.020400142669677733,0.002441243657084705,0.95,0.96875,0.971875,0.965625,0.9625,0.9637500000000001,0.00755190373349663,1,mfeat-factors
0,0.2595839023590088,0.01151198102311841,0.020145082473754884,0.0017312178773872364,0.828125,0.83125,0.80625,0.85,0.8,0.8231250000000001,0.018071040368501184,1,mfeat-fourier
0,0.10083193778991699,0.0013584130016545803,0.014108943939208984,0.00020919267312360357,0.9732142857142857,0.9732142857142857,0.9285714285714286,0.9642857142857143,0.972972972972973,0.9624517374517374,0.017283518669260423,1,breast-w
0,0.24459104537963866,0.0046056059708272845,0.020953655242919922,0.0009156469798400584,0.946875,0.9625,0.95625,0.9625,0.9625,0.9581250000000001,0.006123724356957945,1,mfeat-karhunen
0,0.13351593017578126,0.005893251065387025,0.018949270248413086,0.000907500013528371,0.7,0.709375,0.70625,0.71875,0.725,0.7118749999999999,0.008926785535678564,1,mfeat-morphological
0,0.22634201049804686,0.0032952720821784755,0.019910240173339845,0.0006872600646392146,0.771875,0.790625,0.778125,0.796875,0.765625,0.780625,0.011592023119369639,1,mfeat-zernike
0,0.1273815631866455,0.001438849744648287,0.02036886215209961,0.0012018919404919684,0.5042372881355932,0.538135593220339,0.5466101694915254,0.5361702127659574,0.4978723404255319,0.5246051208077894,0.019649617594293452,1,cmc
0,0.24154791831970215,0.007246886525009765,0.02537856101989746,0.0027648773068596824,0.9844444444444445,0.9777530589543938,0.9911012235817576,0.9844271412680756,0.9777530589543938,0.9830957854406132,0.0049953554806985035,1,optdigits
0,0.11592955589294433,0.0005199017747830267,0.018294763565063477,0.0012836912970333827,0.9279279279279279,0.9009009009009009,0.8090909090909091,0.8363636363636363,0.8272727272727273,0.8603112203112204,0.0458434082502213,1,credit-approval
0,0.12084064483642579,0.001716918339466035,0.018587350845336914,0.0008633371477431001,0.75625,0.74375,0.78125,0.7875,0.75,0.76375,0.01741048534648014,1,credit-g
0,0.34591264724731446,0.015590547780118529,0.029460763931274413,0.006232108777176938,0.992609437180216,0.992040932347925,0.9909039226833428,0.9886234357224118,0.9920364050056882,0.9912428265879167,0.0014220005895302238,1,pendigits
0,0.1074075698852539,0.0015880010594709522,0.015490150451660157,0.0003638980703085242,0.8130081300813008,0.7967479674796748,0.7804878048780488,0.7723577235772358,0.7540983606557377,0.7833399973343996,0.02021776653558233,1,diabetes
0,0.19802384376525878,0.002958038272277072,0.02076444625854492,0.0009491559830188866,0.9442934782608695,0.9524456521739131,0.9402173913043478,0.9592391304347826,0.9538043478260869,0.95,0.006842216473920761,1,spambase
0,0.31008238792419435,0.016826947765422887,0.035768651962280275,0.008186284955351586,0.9647749510763209,0.9765166340508806,0.9705882352941176,0.9588235294117647,0.9568627450980393,0.9655132189862247,0.007306964050959692,1,splice
0,0.12201404571533203,0.009047538954902914,0.01755218505859375,0.0004839758659598634,0.961038961038961,0.9738562091503268,0.9869281045751634,0.9934640522875817,0.9738562091503268,0.9778287072404719,0.011320071609847134,1,tic-tac-toe
0,0.11958503723144531,0.0023523866007779362,0.018198347091674803,0.0018522237469425656,0.7720588235294118,0.7851851851851852,0.7481481481481481,0.7407407407407407,0.7185185185185186,0.7529302832244008,0.023502778843029294,1,vehicle
0,1.0837360858917235,0.09667005213958782,0.05526103973388672,0.01738903103649192,0.9041379310344828,0.9023448275862069,0.8979310344827586,0.9038620689655172,0.9016416057387225,0.9019834935615376,0.0022289244275757463,1,electricity
0,0.3056363105773926,0.009712630558509289,0.02568817138671875,0.004818787783964368,0.9173955296404276,0.8979591836734694,0.9222546161321672,0.9212827988338192,0.9017509727626459,0.9121286202085059,0.010222950777003732,1,satimage
0,0.13031892776489257,0.009540526105178884,0.01934652328491211,0.0007023208615611388,0.6779661016949152,0.6440677966101694,0.6016949152542372,0.6666666666666666,0.6837606837606838,0.6548312327973346,0.029838004582815023,1,eucalyptus
0,0.14255671501159667,0.0016474500949969703,0.024023771286010742,0.0005278778804969765,0.9884105960264901,0.9834437086092715,0.9850746268656716,0.9834162520729685,0.9834162520729685,0.9847522871294739,0.001937497560229566,1,sick
0,0.13055334091186524,0.008362438926128203,0.017899370193481444,0.0008666296422257926,0.9622641509433962,0.9433962264150944,0.9430379746835443,0.9683544303797469,0.9746835443037974,0.9583472653451158,0.012963543502327753,1,vowel
0,2.472851610183716,0.18732342171949454,0.05555047988891602,0.01843621853121488,0.9455128205128205,0.936698717948718,0.9414595028067362,0.9334402566158782,0.9438652766639936,0.9401953149096294,0.004498881172395826,1,isolet
0,0.128599214553833,0.007250039981591971,0.01702399253845215,0.0006319125181025264,0.9851851851851852,0.9851851851851852,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9895964621337756,0.0036017925460493385,1,analcatdata_authorship
