,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,name
0,0.38752074241638185,0.002451068736721131,0.008290243148803712,0.0002175442953215879,0.990234375,0.9863013698630136,0.9863013698630136,0.9941291585127201,0.9921722113502935,0.9898276969178083,0.0031316025237542967,1,kr-vs-kp
0,16.153161430358885,0.04321653688438831,0.14588561058044433,0.0021625746071227353,0.9553125,0.9596875,0.958125,0.9559375,0.9596875,0.9577500000000001,0.0018371173070873936,1,letter
0,0.06226968765258789,0.007054934848546686,0.0033514022827148436,0.0003582461226461709,0.84,0.89,0.86,0.88,0.84,0.8619999999999999,0.02039607805437116,1,balance-scale
0,3.835397148132324,0.05037238396564887,0.005507898330688476,0.00030624301384730697,0.95625,0.965625,0.95,0.971875,0.946875,0.9581250000000001,0.009395810236483074,1,mfeat-factors
0,3.1527072906494142,0.03156230269735019,0.005557918548583984,7.040167589768212e-05,0.828125,0.834375,0.828125,0.81875,0.809375,0.8237500000000001,0.008750000000000013,1,mfeat-fourier
0,0.024970817565917968,0.006186558181791374,0.003156900405883789,0.0011736851543636398,0.9821428571428571,0.9642857142857143,0.9285714285714286,0.9464285714285714,0.972972972972973,0.9588803088803088,0.019197092132080155,1,breast-w
0,2.0548283100128173,0.03199039790377434,0.004622173309326172,4.274238063559748e-05,0.93125,0.95625,0.95,0.959375,0.928125,0.9450000000000001,0.012899854650343934,1,mfeat-karhunen
0,0.41103315353393555,0.005848577139648778,0.006624555587768555,0.00019673659729775968,0.684375,0.690625,0.709375,0.725,0.69375,0.700625,0.014710752869924772,1,mfeat-morphological
0,2.3474323749542236,0.029584285337009776,0.006047201156616211,0.0002982178395930368,0.7625,0.8,0.790625,0.76875,0.759375,0.77625,0.016129359875704942,1,mfeat-zernike
0,0.21658997535705565,0.0021057821820440747,0.005335474014282226,0.00021258027301513678,0.5211864406779662,0.559322033898305,0.5550847457627118,0.5191489361702127,0.5106382978723404,0.5330760908763073,0.020059982003770998,1,cmc
0,3.213977813720703,0.03576931385337923,0.010407638549804688,0.0003458757448777934,0.9855555555555555,0.9655172413793104,0.9833147942157954,0.9755283648498332,0.9733036707452726,0.9766439253491533,0.007212801350137739,1,optdigits
0,0.05225687026977539,0.007871202420000495,0.004669189453125,0.00029929298745408074,0.9099099099099099,0.9009009009009009,0.8272727272727273,0.8727272727272727,0.8636363636363636,0.8748894348894348,0.0293315101446297,1,credit-approval
0,0.12409806251525879,0.008780336628733863,0.005132341384887695,0.00017493072540704434,0.725,0.71875,0.76875,0.74375,0.70625,0.7325000000000002,0.021794494717703377,1,credit-g
0,2.4292327404022216,0.011738376026588958,0.01802201271057129,0.0006772417857912592,0.9869243888573053,0.9914724275156339,0.992040932347925,0.9863481228668942,0.9914675767918089,0.9896506896759135,0.0024768016174599125,1,pendigits
0,0.047639083862304685,0.00774618548200504,0.0028375625610351563,0.0005501099325345288,0.7642276422764228,0.7886178861788617,0.7642276422764228,0.7560975609756098,0.7295081967213115,0.7605357856857257,0.018964562182139932,1,diabetes
0,0.5680880546569824,0.01784078952305984,0.004463338851928711,0.00014656616885218039,0.9483695652173914,0.9483695652173914,0.9470108695652174,0.9565217391304348,0.9538043478260869,0.9508152173913043,0.003686048903872415,1,spambase
0,0.8327176570892334,0.007055735990850537,0.015241241455078125,0.0004711943677499705,0.9569471624266145,0.9647749510763209,0.9705882352941176,0.9686274509803922,0.9666666666666667,0.9655208932888224,0.004705459446324568,1,splice
0,0.05776934623718262,0.007646889998553559,0.003419923782348633,0.00040097444458685,0.961038961038961,0.9869281045751634,0.9738562091503268,0.9738562091503268,0.9934640522875817,0.9778287072404719,0.011320071609847134,1,tic-tac-toe
0,0.17228255271911622,0.00024161600891071052,0.0036091327667236326,0.00024232625115664744,0.7279411764705882,0.8222222222222222,0.7925925925925926,0.7703703703703704,0.7555555555555555,0.7737363834422657,0.03207960945504771,1,vehicle
0,1.7253442287445069,0.01672584384801727,0.013506364822387696,0.0002773528321221596,0.9110344827586206,0.9131034482758621,0.9049655172413793,0.9151724137931034,0.9071596082218237,0.9102870940581578,0.003753855014119596,1,electricity
0,2.307412624359131,0.018486928888101373,0.012364578247070313,0.00014168350994701634,0.9173955296404276,0.9086491739552964,0.9135082604470359,0.9271137026239067,0.8959143968871596,0.9125162127107653,0.010280592215943761,1,satimage
0,0.19962606430053711,0.0015199532755431717,0.006280136108398437,0.00025465141886358596,0.652542372881356,0.6864406779661016,0.6101694915254238,0.6923076923076923,0.7008547008547008,0.668462987107055,0.0334442462575773,1,eucalyptus
0,0.2669785499572754,0.005258138969312575,0.007757568359375,0.0004361947913268811,0.9933774834437086,0.9850993377483444,0.9900497512437811,0.988391376451078,0.988391376451078,0.9890618650675981,0.0026907699192206813,1,sick
0,0.4445744514465332,0.004973531231030177,0.005118131637573242,0.00011680145413549753,0.9056603773584906,0.8553459119496856,0.8987341772151899,0.8670886075949367,0.8860759493670886,0.8825810046970783,0.018907996763381278,1,vowel
0,164.1212881565094,0.8920783741017437,0.027211570739746095,0.0005026868026743997,0.9342948717948718,0.9439102564102564,0.9454691259021651,0.9414595028067362,0.9414595028067362,0.9413186519441531,0.0038292561497314695,1,isolet
0,0.16490097045898439,0.004062074125326025,0.003052425384521484,0.00019548947588258125,0.9555555555555556,0.9851851851851852,0.9776119402985075,1.0,0.9850746268656716,0.980685461580984,0.014515663186164492,1,analcatdata_authorship
